Level,Title,Enterprise Item Number,Revision,Title (Instance),Is Latest Revision,Maturity State,Owner,Lock,Modification Date,Type,Name,Density [kg/m^3],Mass [kg]
2,x_nut_14,None,A.1,x_nut_14.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454237,6860,0.00261
2,x_screw_15,None,A.1,x_screw_15.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454238,6860,0.005891
2,x_nut_15,None,A.1,x_nut_15.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454239,6860,0.00261
1,3D WHEEL Y,None,A.1,3D WHEEL Y.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 9, 2026, 11:53:19 PM",Physical Product,prd-R1132100679051-01454276,,
2,y_wheel,None,A.1,y_wheel.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454240,1290,0.098756
2,y_shaft,None,A.1,y_shaft.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454242,6860,0.002543
2,y_screw_00,None,A.1,y_screw_00.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454243,6860,0.005891
2,y_nut_00,None,A.1,y_nut_00.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454244,6860,0.00261
2,y_screw_01,None,A.1,y_screw_01.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454245,6860,0.005891
2,y_nut_01,None,A.1,y_nut_01.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454246,6860,0.00261
2,y_screw_02,None,A.1,y_screw_02.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454247,6860,0.005891
2,y_nut_02,None,A.1,y_nut_02.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454248,6860,0.00261
2,y_screw_03,None,A.1,y_screw_03.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454249,6860,0.005891
2,y_nut_03,None,A.1,y_nut_03.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454250,6860,0.00261
2,y_screw_04,None,A.1,y_screw_04.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454251,6860,0.005891
2,y_nut_04,None,A.1,y_nut_04.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454252,6860,0.00261
2,y_screw_05,None,A.1,y_screw_05.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454253,6860,0.005891
2,y_nut_05,None,A.1,y_nut_05.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454254,6860,0.00261
2,y_screw_06,None,A.1,y_screw_06.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454255,6860,0.005891
