15250	0.615	-37.745	37.301	4.33	-3.55	-0.09	-0.036	0.010	0.014	0.0543	-0.0236	0.0663	0.0000	0.0000	0.0000	0	1.00
15257	0.644	-37.742	37.324	4.23	-3.46	-0.08	-0.041	-0.011	0.012	0.0531	-0.0229	0.0648	0.0000	0.0000	0.0000	0	1.00
15265	0.672	-37.741	37.347	4.10	-3.28	-0.24	-0.045	0.007	0.005	0.0508	-0.0196	0.0597	0.0000	0.0000	0.0000	0	1.00
15272	0.697	-37.740	37.367	3.57	-3.11	0.02	-0.029	-0.012	0.010	0.0440	-0.0232	0.0577	0.0000	0.0000	0.0000	0	1.00
15279	0.728	-37.733	37.389	3.74	-2.87	-0.18	-0.026	-0.035	0.011	0.0474	-0.0164	0.0540	0.0000	0.0000	0.0000	0	1.00
15287	0.762	-37.723	37.409	3.85	-2.85	-0.41	-0.022	-0.013	0.021	0.0479	-0.0131	0.0513	0.0000	0.0000	0.0000	0	1.00
15294	0.800	-37.709	37.428	3.94	-2.37	-0.88	-0.016	-0.021	0.018	0.0494	-0.0005	0.0407	0.0000	0.0000	0.0000	0	1.00
15302	0.840	-37.692	37.448	3.87	-1.79	-1.60	-0.019	-0.015	0.032	0.0467	0.0146	0.0242	0.0000	0.0000	0.0000	0	1.00
15309	0.875	-37.678	37.464	4.03	-1.67	-1.99	-0.017	-0.003	0.023	0.0477	0.0214	0.0186	0.0000	0.0000	0.0000	0	1.00
15316	0.906	-37.663	37.477	3.53	-1.25	-1.92	0.006	-0.023	0.024	0.0420	0.0237	0.0118	0.0000	0.0000	0.0000	0	1.00
