# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
14946	0	0.0000	0	1.410	-37.746	38.002	16.29	17.26	23.19	-0.001	0.034	0.023
14953	0	0.0000	0	1.369	-37.770	37.988	15.65	16.62	22.55	-0.011	0.009	0.019
14960	0	0.0000	0	1.324	-37.795	37.973	15.09	16.36	21.69	-0.018	0.009	0.010
14967	0	0.0000	0	1.277	-37.822	37.959	14.68	15.58	21.07	-0.025	-0.009	0.007
14975	0	0.0000	0	1.235	-37.848	37.946	14.40	14.41	20.94	-0.025	-0.015	-0.008
14982	0	0.0000	0	1.194	-37.873	37.935	14.21	13.43	20.21	-0.032	-0.006	-0.001
14989	0	0.0000	0	1.164	-37.895	37.930	13.86	12.46	18.99	-0.038	-0.003	0.000
14996	0	0.0000	0	1.139	-37.914	37.926	14.02	11.80	18.33	-0.030	-0.014	0.008
15003	0	0.0000	0	1.119	-37.931	37.925	13.73	11.27	16.93	-0.024	-0.014	0.012
15009	0	0.0000	0	1.097	-37.949	37.924	13.24	10.54	15.51	-0.022	-0.001	0.006
15016	0	0.0000	0	1.081	-37.965	37.926	12.77	10.07	14.44	0.003	-0.004	0.004
15023	0	0.0000	0	1.063	-37.982	37.926	12.00	9.49	13.78	0.021	0.003	-0.005
15030	0	0.0000	0	1.051	-37.999	37.932	11.20	8.45	13.08	0.047	0.003	-0.018
15037	0	0.0000	0	1.047	-38.011	37.940	10.75	7.20	11.93	0.056	0.029	-0.018
15044	0	0.0000	0	1.052	-38.019	37.952	10.35	6.19	10.49	0.034	0.024	0.018
15051	0	0.0000	0	1.061	-38.022	37.963	10.24	5.38	8.98	0.031	0.015	0.019
15058	0	0.0000	0	1.072	-38.024	37.974	10.01	5.07	8.25	0.011	0.004	0.034
15065	0	0.0000	0	1.083	-38.022	37.982	9.33	4.45	6.16	-0.008	-0.010	0.038
