# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
41993	2	0.0000	0	-0.648	-38.141	36.575	1.36	0.35	2.38	-0.002	0.011	5.622
42000	2	0.0000	0	-0.643	-38.139	36.577	1.68	0.31	1.99	-0.003	0.005	5.635
42007	2	0.0000	0	-0.648	-38.141	36.575	1.84	0.68	2.10	0.007	-0.005	5.544
42014	2	0.0000	0	-0.645	-38.139	36.575	2.10	0.58	1.83	0.013	-0.003	5.604
42021	2	0.0000	0	-0.646	-38.138	36.574	2.21	1.04	1.16	0.003	-0.016	5.524
42028	2	0.0000	0	-0.642	-38.136	36.575	2.28	1.25	0.77	0.015	-0.022	5.662
42035	2	0.0000	0	-0.637	-38.133	36.577	2.23	1.21	0.12	0.034	-0.011	5.547
42042	2	0.0000	0	-0.637	-38.135	36.579	2.23	1.21	0.12	0.021	-0.016	5.600
42049	2	0.0000	0	-0.633	-38.135	36.582	2.01	0.97	-0.37	0.040	-0.004	5.672
42056	2	0.0000	0	-0.635	-38.143	36.588	2.18	0.51	0.13	0.037	0.009	5.599
42063	2	0.0000	0	-0.631	-38.145	36.593	2.13	0.17	-0.22	0.018	0.021	5.629
42070	2	0.0000	0	-0.630	-38.149	36.599	2.33	-0.24	-0.01	0.003	0.033	5.470
42077	2	0.0000	0	-0.627	-38.152	36.604	2.74	-0.30	0.27	-0.021	0.033	5.410
42084	2	0.0000	0	-0.617	-38.147	36.608	2.93	-0.02	-0.83	-0.027	0.014	5.294
42091	2	0.0000	0	-0.611	-38.144	36.610	3.00	0.21	-0.60	-0.042	0.003	5.084
42098	2	0.0000	0	-0.600	-38.134	36.611	3.42	0.71	-1.31	-0.049	-0.021	5.040
42105	2	0.0000	0	-0.586	-38.124	36.612	3.53	0.90	-1.72	-0.055	-0.025	4.859
42112	2	0.0000	0	-0.571	-38.113	36.615	3.86	1.05	-1.66	-0.042	-0.013	4.774
42120	2	0.0000	0	-0.547	-38.095	36.620	3.63	1.13	-2.36	-0.025	-0.019	4.703
42127	2	0.0000	0	-0.529	-38.086	36.625	3.81	0.83	-2.14	-0.022	-0.006	4.605
42133	2	0.0000	0	-0.506	-38.072	36.633	3.77	0.73	-2.42	-0.005	0.011	4.624
42140	2	0.0000	0	-0.485	-38.060	36.639	3.64	0.35	-2.44	0.020	0.012	4.526
42147	2	0.0000	0	-0.462	-38.048	36.649	3.74	-0.22	-1.55	0.031	0.029	4.449
42154	2	0.0000	0	-0.429	-38.030	36.659	3.41	-0.30	-1.98	0.049	0.027	4.483
42161	2	0.0000	0	-0.405	-38.018	36.669	3.16	-0.81	-1.96	0.065	0.034	4.394
42168	2	0.0000	0	-0.375	-38.002	36.679	3.31	-0.73	-1.45	0.060	0.015	4.340
42175	2	0.0000	0	-0.340	-37.981	36.690	3.49	-0.63	-1.62	0.052	0.003	4.308
42182	2	0.0000	0	-0.315	-37.965	36.696	3.27	-0.72	-1.10	0.030	-0.002	4.193
42189	2	0.0000	0	-0.281	-37.943	36.704	3.58	-0.51	-0.99	0.026	-0.015	4.165
42196	2	0.0000	0	-0.251	-37.923	36.711	3.36	-0.20	-1.29	0.014	-0.039	4.094
42203	2	0.0000	0	-0.226	-37.908	36.720	3.44	-0.29	-0.43	-0.007	-0.045	3.928
42210	2	0.0000	0	-0.194	-37.890	36.730	3.94	-0.04	-0.44	-0.029	-0.048	3.981
42217	2	0.0000	0	-0.167	-37.876	36.740	3.90	-0.10	-0.76	-0.039	-0.041	3.885
42224	2	0.0000	0	-0.148	-37.870	36.751	3.66	-0.45	0.45	-0.034	-0.022	3.741
42231	2	0.0000	0	-0.128	-37.862	36.760	3.53	-0.32	0.66	-0.044	0.002	3.737
42238	2	0.0000	0	-0.110	-37.854	36.769	3.27	-0.68	0.65	-0.019	0.015	3.711
42245	2	0.0000	0	-0.095	-37.850	36.777	3.38	-0.59	1.08	-0.005	0.024	3.584
42252	2	0.0000	0	-0.077	-37.843	36.787	3.23	-0.31	1.70	0.001	0.055	3.612
42259	2	0.0000	0	-0.057	-37.832	36.794	3.11	-0.21	1.19	0.002	0.040	3.678
42266	2	0.0000	0	-0.041	-37.827	36.803	3.00	-0.45	1.22	0.003	0.027	3.605
42273	2	0.0000	0	-0.025	-37.822	36.812	3.15	-0.19	1.56	0.017	0.030	3.622
42280	2	0.0000	0	-0.000	-37.809	36.821	3.07	-0.10	0.70	0.024	0.009	3.733
42287	2	0.0000	0	0.018	-37.802	36.831	3.09	-0.33	0.38	0.028	0.011	3.747
42294	2	0.0000	0	0.031	-37.802	36.842	2.88	-0.58	1.26	0.022	-0.008	3.683
42301	2	0.0000	0	0.046	-37.799	36.852	2.38	-0.53	1.39	0.026	-0.033	3.750
42308	2	0.0000	0	0.062	-37.798	36.866	2.35	-0.44	1.23	0.010	-0.034	3.730
42315	2	0.0000	0	0.071	-37.804	36.879	2.58	-0.74	2.14	-0.004	-0.032	3.594
42322	2	0.0000	0	0.081	-37.806	36.890	2.42	-0.53	2.52	-0.011	-0.041	3.548
42329	2	0.0000	0	0.101	-37.799	36.902	2.56	-0.58	1.79	-0.023	-0.040	3.610
42336	2	0.0000	0	0.117	-37.797	36.913	2.46	-0.57	1.88	-0.022	-0.029	3.481
42343	2	0.0000	0	0.122	-37.799	36.919	2.50	-0.40	2.83	-0.031	-0.002	3.286
42350	2	0.0000	0	0.133	-37.796	36.926	2.16	-0.04	3.45	-0.024	-0.005	3.262
42357	2	0.0000	0	0.149	-37.787	36.931	2.16	0.34	2.01	-0.022	0.010	3.311
42364	2	0.0000	0	0.160	-37.782	36.936	1.96	0.33	1.91	0.001	0.029	3.205
42371	2	0.0000	0	0.161	-37.782	36.938	1.68	0.73	2.74	0.004	0.042	3.046
42377	2	0.0000	0	0.165	-37.781	36.940	1.08	1.23	3.15	0.017	0.043	3.034
42385	2	0.0000	0	0.172	-37.778	36.943	0.57	1.57	2.37	0.035	0.032	3.093
42392	2	0.0000	0	0.178	-37.778	36.948	0.34	1.59	2.48	0.043	0.021	3.020
42399	2	0.0000	0	0.181	-37.782	36.955	0.21	1.24	3.17	0.052	0.028	2.872
42406	2	0.0000	0	0.187	-37.786	36.963	0.02	1.05	4.18	0.050	-0.004	2.779
42413	2	0.0000	0	0.195	-37.785	36.970	0.02	0.78	3.40	0.010	-0.003	2.931
42420	2	0.0000	0	0.200	-37.786	36.975	0.16	0.28	2.81	0.011	-0.019	3.056
42427	2	0.0000	0	0.199	-37.792	36.980	-0.01	0.04	3.01	-0.011	-0.039	2.889
42434	2	0.0000	0	0.183	-37.807	36.980	-0.73	0.09	4.52	-0.015	-0.034	2.722
42441	2	0.0000	0	0.163	-37.820	36.976	-1.11	0.43	4.77	-0.012	-0.052	2.740
42448	2	0.0000	0	0.145	-37.828	36.968	-1.59	0.74	3.35	-0.000	-0.043	2.884
42455	2	0.0000	0	0.124	-37.839	36.960	-2.23	0.71	2.55	-0.003	-0.021	2.945
42462	2	0.0000	0	0.094	-37.858	36.952	-2.87	0.71	3.50	0.016	0.001	2.822
42469	2	0.0000	0	0.062	-37.881	36.946	-3.48	0.29	4.21	0.007	0.027	2.686
42476	2	0.0000	0	0.039	-37.896	36.941	-3.84	-0.02	4.67	0.004	0.043	2.665
42483	2	0.0000	0	0.021	-37.909	36.938	-3.71	0.05	3.53	-0.008	0.058	2.725
42490	2	0.0000	0	0.004	-37.920	36.934	-3.55	-0.33	3.32	-0.006	0.053	2.672
42497	2	0.0000	0	-0.021	-37.939	36.929	-3.93	-0.50	3.33	-0.021	0.071	2.501
42504	2	0.0000	0	-0.051	-37.958	36.922	-3.98	-0.62	4.25	-0.019	0.051	2.350
42512	2	0.0000	0	-0.076	-37.973	36.915	-4.19	-0.44	3.65	-0.011	0.020	2.353
42519	2	0.0000	0	-0.100	-37.985	36.905	-4.00	0.08	2.61	0.002	-0.005	2.409
42526	2	0.0000	0	-0.131	-38.003	36.896	-4.33	-0.00	2.19	0.001	-0.024	2.349
42533	2	0.0000	0	-0.167	-38.025	36.885	-4.67	0.22	2.93	0.000	-0.031	2.148
42540	2	0.0000	0	-0.209	-38.052	36.874	-5.08	-0.08	3.75	-0.011	-0.046	1.918
42547	2	0.0000	0	-0.250	-38.078	36.864	-4.92	0.10	4.36	0.013	-0.047	1.784
42553	2	0.0000	0	-0.279	-38.096	36.856	-4.69	0.31	3.71	0.004	-0.045	1.782
42561	2	0.0000	0	-0.307	-38.111	36.846	-4.63	0.30	2.49	-0.000	-0.027	1.862
42568	2	0.0000	0	-0.337	-38.128	36.835	-4.76	-0.01	2.09	0.008	-0.004	1.878
42575	2	0.0000	0	-0.373	-38.149	36.824	-4.80	-0.59	2.29	0.023	0.021	1.783
42582	2	0.0000	0	-0.418	-38.177	36.812	-5.34	-0.65	3.53	0.023	0.023	1.591
42589	2	0.0000	0	-0.465	-38.206	36.799	-5.49	-0.61	4.69	0.017	0.024	1.335
42596	2	0.0000	0	-0.508	-38.231	36.786	-5.34	-0.32	4.99	0.015	0.003	1.167
42603	2	0.0000	0	-0.544	-38.250	36.773	-5.24	0.39	4.92	-0.003	-0.010	1.083
42610	2	0.0000	0	-0.567	-38.260	36.762	-4.53	0.65	3.53	-0.031	-0.002	1.087
42617	2	0.0000	0	-0.589	-38.269	36.752	-3.74	0.86	2.53	-0.045	-0.006	1.138
42624	2	0.0000	0	-0.615	-38.280	36.739	-2.80	0.40	1.73	-0.050	0.003	1.222
42631	2	0.0000	0	-0.648	-38.298	36.727	-2.77	-0.18	1.76	-0.038	0.024	1.256
42638	2	0.0000	0	-0.689	-38.323	36.715	-2.88	-0.47	2.15	-0.024	0.016	1.256
42645	2	0.0000	0	-0.744	-38.355	36.699	-3.68	-0.66	2.83	-0.003	0.036	1.151
42652	2	0.0000	0	-0.804	-38.390	36.680	-3.88	-0.81	3.81	0.012	0.007	1.002
42659	2	0.0000	0	-0.858	-38.421	36.662	-3.83	-0.39	4.40	0.034	-0.004	0.832
42666	2	0.0000	0	-0.904	-38.446	36.647	-3.23	-0.41	4.56	0.033	-0.037	0.672
42673	2	0.0000	0	-0.933	-38.460	36.635	-2.26	-0.02	3.73	0.014	-0.035	0.533
42680	2	0.0000	0	-0.944	-38.465	36.630	-0.34	0.39	2.67	-0.019	-0.053	0.424
42687	2	0.0000	0	-0.952	-38.467	36.625	0.96	0.72	1.36	-0.019	-0.062	0.347
42694	2	0.0000	0	-0.960	-38.470	36.621	1.83	0.73	0.68	-0.019	-0.053	0.250
42701	2	0.0000	0	-0.973	-38.478	36.617	2.33	0.62	0.92	-0.005	-0.034	0.182
42708	2	0.0000	0	-0.993	-38.492	36.613	1.80	0.58	1.40	-0.012	-0.009	0.137
42715	2	0.0000	0	-1.014	-38.507	36.610	1.19	0.33	1.93	0.024	0.037	0.071
42722	2	0.0000	0	-1.032	-38.522	36.608	0.99	0.30	2.16	0.037	0.034	0.027
42729	2	0.0000	0	-1.042	-38.533	36.609	1.23	0.31	2.34	0.047	0.062	0.016
42736	2	0.0000	0	-1.044	-38.539	36.614	1.27	0.47	1.82	0.033	0.060	-0.004
42743	2	0.0000	0	-1.031	-38.536	36.622	1.90	0.31	1.14	0.024	0.049	-0.026
42750	2	0.0000	0	-1.012	-38.529	36.632	2.54	0.13	0.79	0.016	0.041	-0.048
42757	2	0.0000	0	-0.986	-38.518	36.644	2.89	-0.00	0.57	-0.001	0.023	-0.087
42764	2	0.0000	0	-0.960	-38.505	36.654	3.15	-0.27	0.47	-0.020	0.008	-0.112
42771	2	0.0000	0	-0.943	-38.494	36.659	2.99	-0.09	0.56	-0.015	-0.011	-0.147
42778	2	0.0000	0	-0.931	-38.487	36.662	2.83	-0.15	1.19	-0.035	-0.028	-0.177
42785	2	0.0000	0	-0.920	-38.479	36.664	2.70	-0.10	1.49	-0.015	-0.044	-0.223
42792	2	0.0000	0	-0.917	-38.475	36.663	2.25	0.17	1.67	-0.017	-0.056	-0.283
42799	2	0.0000	0	-0.912	-38.473	36.665	2.04	0.31	2.16	-0.006	-0.058	-0.363
42806	2	0.0000	0	-0.898	-38.468	36.672	1.96	0.08	2.36	-0.011	-0.045	-0.433
42813	2	0.0000	0	-0.883	-38.462	36.680	2.07	0.02	2.64	-0.012	-0.024	-0.548
42820	2	0.0000	0	-0.865	-38.455	36.690	2.20	-0.50	2.81	-0.004	-0.012	-0.650
42827	2	0.0000	0	-0.849	-38.452	36.701	2.29	-0.63	3.28	-0.012	0.004	-0.761
42834	2	0.0000	0	-0.832	-38.447	36.711	2.60	-0.60	3.57	0.008	0.031	-0.866
42841	2	0.0000	0	-0.817	-38.443	36.719	2.42	-0.73	3.78	0.010	0.039	-0.925
42848	2	0.0000	0	-0.806	-38.439	36.726	2.47	-0.67	3.67	0.026	0.056	-0.903
42855	2	0.0000	0	-0.798	-38.437	36.731	2.18	-0.78	3.64	0.028	0.054	-0.853
42862	2	0.0000	0	-0.794	-38.437	36.734	1.61	-0.78	2.95	0.025	0.053	-0.736
42869	2	0.0000	0	-0.797	-38.441	36.736	1.12	-1.25	2.74	0.032	0.053	-0.603
42876	2	0.0000	0	-0.801	-38.448	36.740	0.71	-1.49	2.76	0.037	0.027	-0.454
42883	2	0.0000	0	-0.808	-38.460	36.744	0.23	-1.60	2.82	0.026	0.024	-0.293
42890	2	0.0000	0	-0.815	-38.473	36.751	-0.33	-2.19	2.58	0.021	0.007	-0.144
42897	2	0.0000	0	-0.821	-38.488	36.760	-0.43	-2.92	2.37	0.008	0.005	0.030
42904	2	0.0000	0	-0.824	-38.501	36.770	-0.31	-3.47	2.26	-0.021	-0.025	0.175
42911	2	0.0000	0	-0.828	-38.513	36.778	-0.38	-3.82	1.73	-0.027	-0.043	0.329
42918	2	0.0000	0	-0.827	-38.522	36.788	-0.53	-3.97	0.98	-0.032	-0.039	0.461
42925	2	0.0000	0	-0.826	-38.530	36.797	-0.56	-4.01	0.51	-0.034	-0.053	0.586
42932	2	0.0000	0	-0.827	-38.538	36.804	-0.87	-3.78	-0.03	-0.034	-0.065	0.680
42939	2	0.0000	0	-0.831	-38.546	36.808	-1.34	-3.51	-0.79	-0.025	-0.051	0.740
42946	2	0.0000	0	-0.834	-38.553	36.813	-1.65	-3.45	-1.17	-0.021	-0.044	0.752
42953	2	0.0000	0	-0.834	-38.559	36.817	-1.93	-3.28	-1.17	-0.011	-0.035	0.689
42960	2	0.0000	0	-0.831	-38.563	36.824	-1.73	-3.01	-1.32	-0.010	0.001	0.599
42967	2	0.0000	0	-0.828	-38.567	36.831	-1.49	-3.03	-1.43	0.003	0.011	0.470
42974	2	0.0000	0	-0.815	-38.566	36.842	-1.02	-3.25	-1.47	-0.012	0.031	0.323
42981	2	0.0000	0	-0.797	-38.562	36.854	-0.58	-3.21	-1.53	-0.005	0.060	0.182
42988	2	0.0000	0	-0.780	-38.557	36.863	0.05	-2.89	-1.63	-0.008	0.068	0.006
42995	2	0.0000	0	-0.767	-38.552	36.870	0.14	-2.46	-1.73	0.001	0.058	-0.156
43002	2	0.0000	0	-0.759	-38.547	36.873	0.39	-2.13	-1.57	0.008	0.046	-0.305
43009	2	0.0000	0	-0.753	-38.544	36.874	0.23	-1.71	-1.41	0.019	0.020	-0.428
43016	2	0.0000	0	-0.747	-38.540	36.876	0.06	-1.49	-0.93	0.018	0.001	-0.521
43023	2	0.0000	0	-0.737	-38.533	36.878	0.06	-1.33	-0.77	0.030	-0.019	-0.593
43030	2	0.0000	0	-0.730	-38.528	36.879	-0.05	-1.31	-0.58	0.018	-0.019	-0.617
43037	2	0.0000	0	-0.720	-38.522	36.883	0.11	-1.48	-0.67	0.005	-0.036	-0.596
43044	2	0.0000	0	-0.705	-38.515	36.888	0.07	-1.98	-0.56	-0.001	-0.030	-0.539
43051	2	0.0000	0	-0.691	-38.507	36.894	0.12	-2.33	-0.57	-0.011	-0.016	-0.433
43058	2	0.0000	0	-0.681	-38.504	36.899	-0.35	-2.96	-0.43	-0.012	0.003	-0.324
43065	2	0.0000	0	-0.671	-38.500	36.904	-0.69	-3.46	-0.32	-0.019	0.000	-0.196
43072	2	0.0000	0	-0.666	-38.499	36.907	-1.31	-3.88	-0.23	-0.005	0.002	-0.057
43079	2	0.0000	0	-0.665	-38.500	36.909	-1.88	-3.90	-0.60	0.018	0.014	0.095
43087	2	0.0000	0	-0.657	-38.500	36.916	-2.44	-4.22	-0.66	0.016	-0.003	0.224
43094	2	0.0000	0	-0.652	-38.501	36.921	-2.85	-4.21	-0.90	0.015	0.003	0.337
43101	2	0.0000	0	-0.646	-38.503	36.930	-3.13	-4.33	-1.03	0.005	0.005	0.427
43108	2	0.0000	0	-0.641	-38.507	36.938	-3.61	-4.71	-1.32	0.018	-0.004	0.484
43115	2	0.0000	0	-0.633	-38.511	36.948	-3.50	-5.08	-1.18	-0.010	-0.011	0.499
43122	2	0.0000	0	-0.630	-38.518	36.958	-3.20	-5.28	-1.28	-0.003	-0.003	0.504
43129	2	0.0000	0	-0.630	-38.526	36.966	-2.84	-5.56	-1.04	-0.027	-0.008	0.456
43136	2	0.0000	0	-0.630	-38.534	36.973	-2.50	-5.43	-1.08	-0.024	-0.025	0.383
43143	2	0.0000	0	-0.634	-38.543	36.978	-2.50	-5.06	-1.14	-0.033	-0.024	0.263
43150	2	0.0000	0	-0.643	-38.552	36.980	-2.53	-5.07	-0.89	-0.029	-0.021	0.149
43157	2	0.0000	0	-0.648	-38.559	36.981	-2.29	-4.72	-1.06	-0.030	-0.029	0.022
43164	2	0.0000	0	-0.655	-38.565	36.982	-1.95	-4.22	-1.17	-0.020	-0.031	-0.105
43171	2	0.0000	0	-0.658	-38.570	36.984	-1.81	-3.93	-1.48	-0.012	-0.018	-0.210
43178	2	0.0000	0	-0.659	-38.573	36.986	-1.29	-3.62	-1.78	-0.011	-0.006	-0.296
43185	2	0.0000	0	-0.657	-38.575	36.989	-1.15	-3.25	-2.18	0.002	0.023	-0.356
43192	2	0.0000	0	-0.652	-38.575	36.993	-0.82	-3.41	-2.25	0.004	0.034	-0.390
43199	2	0.0000	0	-0.644	-38.573	36.999	-0.82	-3.28	-2.38	0.017	0.047	-0.384
43206	2	0.0000	0	-0.633	-38.570	37.006	-0.66	-3.37	-2.56	0.027	0.047	-0.361
43213	2	0.0000	0	-0.622	-38.568	37.013	-0.70	-3.52	-2.80	0.038	0.044	-0.292
43220	2	0.0000	0	-0.612	-38.566	37.020	-0.60	-3.48	-2.93	0.025	0.022	-0.212
43227	2	0.0000	0	-0.600	-38.562	37.027	-0.94	-3.51	-3.30	0.031	0.014	-0.127
43234	2	0.0000	0	-0.586	-38.558	37.036	-0.82	-3.79	-3.67	0.032	-0.000	-0.002
43241	2	0.0000	0	-0.572	-38.555	37.044	-0.79	-4.00	-3.70	0.026	-0.024	0.082
43248	2	0.0000	0	-0.561	-38.551	37.051	-1.03	-4.04	-3.84	0.021	-0.029	0.172
43255	2	0.0000	0	-0.547	-38.547	37.060	-0.73	-4.54	-4.07	-0.001	-0.033	0.242
43262	2	0.0000	0	-0.533	-38.544	37.068	-0.48	-4.58	-4.28	-0.006	-0.030	0.274
43269	2	0.0000	0	-0.520	-38.539	37.075	-0.02	-4.91	-4.52	-0.017	-0.019	0.301
43277	2	0.0000	0	-0.506	-38.535	37.083	0.18	-5.00	-4.62	-0.035	-0.012	0.286
43284	2	0.0000	0	-0.493	-38.529	37.089	0.10	-4.64	-4.69	-0.026	-0.008	0.248
43290	2	0.0000	0	-0.482	-38.522	37.092	0.32	-4.47	-4.87	-0.032	-0.002	0.203
43297	2	0.0000	0	-0.470	-38.514	37.095	0.23	-4.01	-4.92	-0.026	0.010	0.131
43304	2	0.0000	0	-0.453	-38.504	37.100	0.45	-3.55	-5.07	-0.038	0.008	0.067
43311	2	0.0000	0	-0.428	-38.490	37.108	1.23	-3.43	-5.12	-0.032	0.025	-0.024
43318	2	0.0000	0	-0.403	-38.475	37.116	1.29	-3.17	-5.12	-0.032	0.018	-0.094
43326	2	0.0000	0	-0.366	-38.455	37.129	1.84	-2.95	-5.59	-0.033	0.015	-0.158
43333	2	0.0000	0	-0.329	-38.435	37.142	2.40	-2.61	-5.85	-0.033	0.007	-0.181
43339	2	0.0000	0	-0.290	-38.415	37.157	2.98	-2.35	-5.85	-0.020	-0.007	-0.214
43346	2	0.0000	0	-0.255	-38.398	37.170	3.18	-2.82	-5.89	-0.008	-0.012	-0.205
43353	2	0.0000	0	-0.216	-38.379	37.187	3.72	-2.42	-6.09	-0.003	-0.016	-0.186
43360	2	0.0000	0	-0.183	-38.364	37.201	4.10	-2.47	-5.89	0.004	-0.024	-0.140
43367	2	0.0000	0	-0.151	-38.351	37.216	4.01	-2.73	-5.96	0.023	-0.003	-0.108
43374	2	0.0000	0	-0.117	-38.335	37.231	4.03	-2.55	-5.95	0.047	0.006	-0.059
43381	2	0.0000	0	-0.087	-38.319	37.242	3.79	-2.52	-5.84	0.042	0.012	0.007
43388	2	0.0000	0	-0.050	-38.301	37.257	3.70	-2.66	-5.72	0.047	0.017	0.056
43395	2	0.0000	0	-0.006	-38.277	37.272	3.92	-2.45	-5.94	0.041	0.017	0.105
43402	2	0.0000	0	0.040	-38.252	37.288	3.99	-2.04	-5.79	0.022	0.022	0.140
43409	2	0.0000	0	0.088	-38.224	37.304	4.23	-2.03	-5.61	0.009	0.013	0.120
43416	2	0.0000	0	0.140	-38.194	37.320	4.58	-1.84	-5.42	-0.008	-0.006	0.128
43423	2	0.0000	0	0.195	-38.160	37.335	4.51	-1.34	-5.01	-0.014	-0.022	0.120
43430	2	0.0000	0	0.250	-38.126	37.350	4.54	-0.95	-4.89	-0.021	-0.030	0.090
43437	2	0.0000	0	0.307	-38.092	37.367	5.02	-0.77	-4.71	-0.022	-0.033	0.064
43444	2	0.0000	0	0.359	-38.060	37.382	4.97	-0.42	-4.27	-0.038	-0.028	0.024
43451	2	0.0000	0	0.407	-38.031	37.396	5.26	-0.24	-3.58	-0.024	-0.021	-0.014
43458	2	0.0000	0	0.452	-38.004	37.410	4.99	0.20	-3.22	-0.016	-0.015	-0.048
43465	2	0.0000	0	0.497	-37.979	37.425	5.06	0.32	-2.76	-0.012	0.010	-0.087
43472	2	0.0000	0	0.537	-37.958	37.439	4.87	0.55	-2.18	0.002	0.013	-0.101
43479	2	0.0000	0	0.576	-37.938	37.454	4.73	0.57	-1.74	0.009	0.037	-0.113
43486	2	0.0000	0	0.614	-37.919	37.469	4.74	0.71	-1.25	0.025	0.031	-0.124
43493	2	0.0000	0	0.651	-37.899	37.482	4.71	1.02	-0.59	0.031	0.034	-0.101
43500	2	0.0000	0	0.683	-37.883	37.495	4.38	1.05	-0.39	0.043	0.027	-0.087
43507	2	0.0000	0	0.712	-37.867	37.504	4.33	1.36	0.09	0.039	-0.004	-0.055
43514	2	0.0000	0	0.742	-37.850	37.515	4.21	1.69	0.42	0.050	-0.009	-0.029
43521	2	0.0000	0	0.769	-37.835	37.524	3.55	1.94	0.93	0.043	-0.025	0.008
43528	2	0.0000	0	0.797	-37.821	37.534	3.24	2.30	1.29	0.037	-0.023	0.037
43535	2	0.0000	0	0.821	-37.807	37.542	3.09	2.29	1.45	0.012	-0.015	0.068
43542	2	0.0000	0	0.845	-37.794	37.551	3.00	2.80	1.78	-0.002	-0.020	0.094
43549	2	0.0000	0	0.865	-37.783	37.557	2.66	2.83	1.98	-0.022	-0.006	0.122
43556	2	0.0000	0	0.880	-37.775	37.563	2.28	3.88	2.26	-0.021	-0.014	0.111
43563	2	0.0000	0	0.886	-37.772	37.566	1.64	3.96	2.08	-0.017	0.001	0.098
43570	2	0.0000	0	0.888	-37.771	37.567	1.43	4.62	2.48	-0.023	0.006	0.082
43577	2	0.0000	0	0.890	-37.770	37.567	0.67	5.18	2.79	-0.014	0.014	0.057
43584	2	0.0000	0	0.887	-37.772	37.566	0.40	5.32	3.02	-0.013	0.011	0.014
43591	2	0.0000	0	0.883	-37.774	37.565	0.26	5.52	2.96	-0.016	0.014	-0.027
43598	2	0.0000	0	0.874	-37.778	37.561	0.15	6.00	3.01	-0.014	0.016	-0.050
43605	2	0.0000	0	0.866	-37.781	37.557	0.25	5.99	2.92	0.001	-0.004	-0.062
43612	2	0.0000	0	0.847	-37.789	37.548	0.34	6.59	2.66	-0.013	-0.008	-0.070
43619	2	0.0000	0	0.829	-37.795	37.538	-0.01	6.82	2.46	0.002	-0.019	-0.081
43626	2	0.0000	0	0.801	-37.805	37.523	-0.32	7.12	2.15	0.021	-0.003	-0.075
43633	2	0.0000	0	0.770	-37.815	37.505	-0.55	7.44	1.96	0.032	-0.008	-0.064
43640	2	0.0000	0	0.731	-37.827	37.483	-0.89	7.64	1.99	0.040	0.013	-0.058
43647	2	0.0000	0	0.692	-37.839	37.461	-1.05	7.65	1.82	0.022	0.011	-0.014
43654	2	0.0000	0	0.655	-37.850	37.437	-1.24	7.37	1.55	0.014	0.018	0.005
43660	2	0.0000	0	0.615	-37.861	37.413	-1.06	7.29	1.56	-0.004	0.016	0.035
43667	2	0.0000	0	0.579	-37.869	37.390	-1.02	7.37	1.12	-0.001	0.016	0.039
43675	2	0.0000	0	0.541	-37.877	37.364	-0.98	7.32	0.81	-0.018	0.014	0.060
43682	2	0.0000	0	0.506	-37.881	37.337	-1.27	7.21	0.79	-0.013	0.015	0.070
43688	2	0.0000	0	0.469	-37.888	37.312	-1.13	7.24	0.73	-0.032	-0.001	0.069
43695	2	0.0000	0	0.437	-37.892	37.287	-1.23	7.12	0.52	-0.009	-0.019	0.064
43702	2	0.0000	0	0.405	-37.896	37.263	-1.20	6.96	0.44	-0.013	-0.033	0.042
43710	2	0.0000	0	0.375	-37.899	37.240	-1.01	6.92	0.40	-0.010	-0.023	0.034
43716	2	0.0000	0	0.347	-37.902	37.218	-0.80	6.80	0.20	-0.000	-0.028	0.004
43723	2	0.0000	0	0.319	-37.905	37.196	-0.59	6.45	-0.07	0.001	-0.024	-0.014
43730	2	0.0000	0	0.291	-37.908	37.174	-0.09	6.40	-0.21	0.004	-0.030	-0.048
43737	2	0.0000	0	0.263	-37.911	37.153	-0.01	5.78	-0.31	-0.004	0.002	-0.049
43744	2	0.0000	0	0.231	-37.917	37.130	0.06	5.85	-0.24	0.002	-0.007	-0.063
43751	2	0.0000	0	0.201	-37.921	37.108	-0.06	5.35	-0.57	0.019	0.004	-0.062
43758	2	0.0000	0	0.175	-37.924	37.087	-0.16	5.23	-0.35	0.013	-0.004	-0.056
43765	2	0.0000	0	0.146	-37.927	37.065	-0.25	5.02	-0.47	0.023	0.007	-0.037
43772	2	0.0000	0	0.123	-37.927	37.045	-0.36	5.00	-0.66	0.030	-0.011	-0.008
43779	2	0.0000	0	0.108	-37.923	37.028	-0.20	4.76	-0.99	0.018	0.003	0.007
43786	2	0.0000	0	0.099	-37.917	37.014	0.28	4.20	-1.12	0.008	0.002	0.029
