started - CORNER STAGE 3: POSITION + RATE (WiFi build, cube held by hand)
all stopped
# mount DCM check: det=1.0000  |row0|=1.0000  |row1|=1.0000  |row2|=1.0000
BMI270 connected!
# calibrating gyro bias -- keep the cube PERFECTLY STILL (~2s)
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6091 runner_up=[-1,-1,+1] dot=0.6020)
# WARNING: best and runner-up corners are close -- verify before arming.
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
# STARTS DISARMED, gGainScale=0.1. Send a1 to arm, a0 to
# disarm, g<0..1> to step gain, m<deg> to widen/narrow kMaxTilt.
# h1 halts (idle + disarm), h0 resumes (still disarmed).
# WiFi build: d<N> sets telemetry decimation (d2 = 250 Hz,
#   d20 = 25 Hz readable), l<0/1phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
29405	1.309	-0.503	-0.820	-1.56	-2.64	-0.21	0.004	-0.042	0.150	0.0267	-0.0138	-0.0137	0.0000	0.0000	0.0000	0	0.10
29413	1.317	-0.512	-0.819	-1.14	-2.90	-0.47	-0.003	-0.044	0.115	0.0280	-0.0146	-0.0143	0.0000	0.0000	0.0000	0	0.10
29420	1.325	-0.524	-0.816	-0.82	-2.95	-0.53	0.008	-0.031	0.084	0.0288	-0.0151	-0.0146	0.0000	0.0000	0.0000	0	0.10
29427	1.340	-0.539	-0.816	-0.59	-2.93	-0.68	0.003	-0.033	0.021	0.0296	-0.0155	-0.0151	0.0000	0.0000	0.0000	0	0.10
29435	1.348	-0.547	-0.815	-0.61	-2.85	-0.95	0.008	-0.037	-0.018	0.0299	-0.0153	-0.0156	0.0000	0.0000	0.0000	0	0.10
29442	1.355	-0.559	-0.811	-0.51	-2.94	-0.96	0.008	0.004	-0.073	0.0304	-0.0158	-0.0155	0.0000	0.0000	0.0000	0	0.10
29450	1.361	-0.571	-0.805	-0.59	-2.71	-0.90	0.029	0.018	-0.110	0.0301	-0.0156	-0.0154	0.0000	0.0000	0.0000	0	0.10
29458	1.369	-0.588	-0.797	-0.90	-2.33	-0.86	0.020	0.018	-0.144	0.0294	-0.0150	-0.0152	0.0000	0.0000	0.0000	0	0.10
29465	1.376	-0.602	-0.790	-1.20	-2.31	-0.58	0.009	0.022	-0.157	0.0287	-0.0152	-0.0144	0.0000	0.0000	0.0000	0	0.10
29473	1.383	-0.619	-0.781	-1.38	-2.10	-0.71	0.008	0.027	-0.145	0.0285	-0.0149	-0.0144	0.0000	0.0000	0.0000	0	0.10
29480	1.392	-0.634	-0.775	-1.11	-1.80	-0.76	0.006	0.019	-0.124	0.0289	-0.0149	-0.0149	0.0000	0.0000	0.0000	0	0.10
29488	1.403	-0.653	-0.768	-1.18	-1.86	-1.16	-0.001	0.050	-0.064	0.0294	-0.0150	-0.0153	0.0000	0.0000	0.0000	0	0.10
29495	1.416	-0.670	-0.764	-1.27	-1.98	-1.36	-0.009	0.036	-0.011	0.0298	-0.0153	-0.0154	0.0000	0.0000	0.0000	0	0.10
29502	1.428	-0.685	-0.761	-1.37	-2.01	-1.56	-0.011	0.002	0.027	0.0301	-0.0154	-0.0156	0.0000	0.0000	0.0000	0	0.10
29510	1.437	-0.698	-0.757	-1.69	-1.75	-1.39	0.008	0.010	0.081	0.0294	-0.0151	-0.0151	0.0000	0.0000	0.0000	0	0.10
29518	1.439	-0.711	-0.747	-2.04	-1.74	-1.37	0.001	-0.019	0.112	0.0288	-0.0151	-0.0146	0.0000	0.0000	0.0000	0	0.10
29525	1.436	-0.716	-0.739	-2.40	-1.24	-1.39	0.008	-0.032	0.130	0.0277	-0.0140	-0.0146	0.0000	0.0000	0.0000	0	0.10
29532	1.436	-0.720	-0.735	-2.45	-0.93	-1.34	0.003	-0.024	0.121	0.0273	-0.0135	-0.0146	0.0000	0.0000	0.0000	0	0.10
29540	1.438	-0.722	-0.735	-2.71	-0.36	-1.54	-0.011	-0.041	0.118	0.0266	-0.0121	-0.0152	0.0000	0.0000	0.0000	0	0.10
29548	1.437	-0.721	-0.736	-2.82	-0.01	-1.37	-0.008	-0.034	0.090	0.0259	-0.0115	-0.0151	0.0000	0.0000	0.0000	0	0.10
29555	1.434	-0.718	-0.735	-3.22	0.25	-1.54	-0.011	-0.025	0.062	0.0251	-0.0105	-0.0152	0.0000	0.0000	0.0000	0	0.10
29562	1.438	-0.721	-0.736	-3.06	0.41	-1.54	-0.005	-0.023	0.026	0.0253	-0.0104	-0.0156	0.0000	0.0000	0.0000	0	0.10
29570	1.434	-0.718	-0.735	-2.99	0.35	-1.34	-0.020	0.008	-0.009	0.0252	-0.0107	-0.0152	0.0000	0.0000	0.0000	0	0.10
29578	1.430	-0.709	-0.739	-3.00	0.24	-1.54	-0.006	0.032	-0.062	0.0254	-0.0105	-0.0155	0.0000	0.0000	0.0000	0	0.10
29585	1.418	-0.695	-0.742	-2.74	0.47	-1.40	-0.006	0.053	-0.096	0.0253	-0.0101	-0.0158	0.0000	0.0000	0.0000	0	0.10
29592	1.402	-0.674	-0.746	-2.99	0.59	-1.27	-0.018	0.047	-0.119	0.0243	-0.0094	-0.0155	0.0000	0.0000	0.0000	0	0.10
29600	1.383	-0.650	-0.750	-3.22	0.83	-1.38	0.008	0.042	-0.102	0.0234	-0.0082	-0.0158	0.0000	0.0000	0.0000	0	0.10
29607	1.363	-0.621	-0.758	-3.33	1.27	-1.29	0.017	0.017	-0.095	0.0224	-0.0067	-0.0161	0.0000	0.0000	0.0000	0	0.10
29615	1.342	-0.593	-0.765	-3.57	1.35	-1.56	0.037	0.016	-0.080	0.0217	-0.0056	-0.0165	0.0000	0.0000	0.0000	0	0.10
29622	1.321	-0.567	-0.769	-3.59	1.16	-1.24	0.016	0.028	-0.036	0.0211	-0.0057	-0.0158	0.0000	0.0000	0.0000	0	0.10
29630	1.299	-0.546	-0.767	-3.48	0.63	-1.24	0.027	0.008	-0.001	0.0213	-0.0063	-0.0155	0.0000	0.0000	0.0000	0	0.10
29637	1.283	-0.531	-0.766	-3.14	0.50	-1.03	-0.006	-0.029	0.050	0.0215	-0.0066	-0.0153	0.0000	0.0000	0.0000	0	0.10
29645	1.268	-0.518	-0.764	-3.04	0.11	-0.73	-0.016	-0.036	0.060	0.0214	-0.0074	-0.0145	0.0000	0.0000	0.0000	0	0.10
29652	1.250	-0.507	-0.756	-2.93	-0.39	-0.46	-0.023	0.004	0.096	0.0214	-0.0084	-0.0135	0.0000	0.0000	0.0000	0	0.10
29659	1.230	-0.495	-0.749	-2.95	-0.62	-0.42	-0.015	-0.012	0.109	0.0212	-0.0086	-0.0131	0.0000	0.0000	0.0000	0	0.10
29667	1.210	-0.480	-0.743	-3.04	-0.32	-0.30	-0.012	-0.023	0.088	0.0202	-0.0078	-0.0129	0.0000	0.0000	0.0000	0	0.10
29674	1.193	-0.466	-0.739	-2.84	-0.35	-0.16	-0.003	0.001	0.063	0.0201	-0.0078	-0.0128	0.0000	0.0000	0.0000	0	0.10
